,no-people,people
0,22.148,17.19
1,21.426,17.784
2,18.596,19.963
3,21.087,20.921
4,21.643,20.247
5,20.116,18.866
6,19.248,16.096
7,21.305,18.969
8,18.821,18.148
9,18.637,20.501
10,21.007,18.362
11,18.255,20.173
12,18.054,17.406
13,20.206,18.387
14,18.435,21.269
15,22.252,18.925
16,20.63,18.101
17,18.248,18.844
18,19.902,18.43
19,21.82,17.928
20,20.306,19.604
21,20.483,18.468
22,18.057,20.321
23,21.431,18.754
24,21.402,18.454
25,19.128,17.102
26,20.28,18.046
27,20.605,14.673
28,18.648,18.206
29,19.015,16.734
30,21.532,17.442
31,20.615,14.072
32,17.226,20.852
33,17.174,16.66
34,19.608,18.389
35,20.466,19.159
36,18.685,17.8
37,20.595,20.985
38,21.384,19.39
39,19.248,18.859
40,20.574,18.188
41,19.503,20.756
42,19.979,18.518
43,20.607,17.969
44,22.07,20.207
45,20.861,18.137
46,19.549,20.919
47,22.204,18.261
48,19.392,19.733
49,18.92,18.422
50,20.778,20.985
51,21.306,18.023
52,17.331,18.999
53,18.532,19.009
54,17.652,20.856
55,16.353,20.836
56,21.709,20.198
57,19.644,18.508
58,19.123,15.883
59,17.21,18.226
60,21.313,20.237
61,20.593,21.195
62,16.125,21.229
63,17.747,15.676
64,15.645,17.668
65,20.742,17.822
66,19.165,21.319
67,17.864,17.41
68,18.723,16.268
69,19.506,17.53
70,21.777,17.856
71,20.227,19.074
72,16.894,19.558
73,18.133,17.866
74,18.306,18.648
75,19.746,19.905
76,18.125,20.818
77,17.729,19.678
78,19.944,17.027
79,18.776,19.709
80,14.924,16.537
81,20.001,17.589
82,19.61,20.746
83,19.574,19.264
84,18.341,17.234
85,16.828,20.174
86,18.316,19.458
87,18.914,18.583
88,18.362,19.209
89,19.148,18.676
90,20.528,19.455
91,19.716,18.205
92,18.898,19.878
93,21.865,18.564
94,18.99,19.203
95,18.68,20.203
96,20.04,21.132
97,19.348,20.008
98,19.776,20.221
99,19.061,17.173
100,17.954,17.23
101,20.05,18.876
102,16.69,22.742
103,19.021,21.829
104,17.904,17.772
105,19.677,18.483
106,19.88,21.525
107,17.98,18.486
108,18.801,16.934
109,19.925,18.672
110,17.065,17.256
111,19.92,19.081
112,20.104,19.925
113,19.068,21.329
114,20.105,21.289
115,20.078,21.99
116,20.095,17.33
117,17.065,19.846
118,19.041,19.322
119,18.404,19.69
120,19.707,20.485
121,19.097,16.611
122,19.801,21.434
123,18.366,21.319
124,16.196,21.33
125,18.05,20.296
126,19.79,21.637
127,21.025,16.987
128,20.214,20.009
129,19.482,20.552
130,18.498,20.92
131,19.448,21.211
132,17.161,21.362
133,18.636,21.852
134,20.014,22.179
135,19.873,17.785
136,16.643,20.563
137,18.248,21.762
138,19.745,19.508
139,17.466,20.205
140,16.501,17.64
141,19.189,18.536
142,20.293,20.947
143,19.711,18.068
144,17.348,19.124
145,18.749,20.881
146,19.701,19.127
147,17.95,19.254
148,19.839,21.551
149,18.769,19.568
150,20.381,19.237
151,18.881,19.005
152,19.334,17.674
153,18.236,20.208
154,16.788,20.828
155,17.654,19.735
156,21.339,18.123
157,18.805,18.731
158,17.64,17.235
159,19.221,18.901
160,17.864,17.435
161,16.337,18.856
162,20.286,18.876
163,21.792,20.291
164,17.896,17.423
165,20.233,17.349
166,21.406,17.185
167,17.814,19.265
168,16.337,18.586
169,17.317,15.915
170,17.181,17.538
171,18.204,18.874
172,16.983,20.202
173,18.251,18.524
174,19.931,18.861
175,19.897,19.269
176,18.811,19.047
177,19.966,19.645
178,19.129,20.728
179,17.312,19.825
180,22.454,18.386
181,18.294,21.61
182,19.636,18.906
183,21.758,18.734
184,17.975,21.351
185,19.59,18.284
186,18.859,19.753
187,17.994,19.925
188,18.173,18.419
189,19.477,21.097
190,19.409,19.165
191,20.599,18.066
192,19.571,20.267
193,20.553,19.315
194,19.525,19.715
195,21.504,16.847
196,20.469,18.589
197,17.162,16.514
198,22.175,18.225
199,21.165,15.921
200,19.745,18.434
201,16.737,17.19
202,18.735,19.469
203,18.119,18.697
204,17.014,19.341
205,19.985,18.572
206,19.467,19.166
207,19.206,18.854
208,21.382,19.548
209,18.785,16.94
210,21.564,16.821
211,19.12,16.426
212,18.509,16.994
213,20.597,18.407
214,21.975,15.839
215,19.795,21.921
216,17.049,16.549
217,18.614,19.473
218,19.503,20.877
219,18.408,17.915
220,20.892,16.839
221,17.457,18.51
222,19.524,18.779
223,21.213,17.396
224,18.976,17.646
225,18.657,16.823
226,19.406,20.152
227,20.29,16.559
228,17.088,18.917
229,17.07,16.619
230,18.55,18.679
231,20.924,19.063
232,19.221,20.299
233,18.359,20.345
234,19.389,18.328
235,21.623,20.56
236,19.317,19.504
237,19.142,17.356
238,19.103,16.179
